"polygon_id","polygon_name","polygon_level","polygon_version","country","business_vertical","activity_quantile","latitude","longitude","ds"
"USA.5.27_1","Monterey","GADM2","3.6","US","Manufacturing","0.20240835271050286","36.21747682090295","-121.23962348153657","2025-02-13"
"USA.5.27_1","Monterey","GADM2","3.6","US","Retail","0.4096816552108264","36.21747682090295","-121.23962348153657","2025-02-13"
"USA.5.27_1","Monterey","GADM2","3.6","US","Home Services","0.48674977984484746","36.21747682090295","-121.23962348153657","2025-02-13"
"USA.5.27_1","Monterey","GADM2","3.6","US","Public Good","0.31532300786682094","36.21747682090295","-121.23962348153657","2025-02-13"
"USA.5.40_1","San Luis Obispo","GADM2","3.6","US","Manufacturing","0.3671306873200151","35.38769386213297","-120.40591003420344","2025-02-13"
"USA.5.40_1","San Luis Obispo","GADM2","3.6","US","Retail","0.3802191983326619","35.38769386213297","-120.40591003420344","2025-02-13"
"USA.5.40_1","San Luis Obispo","GADM2","3.6","US","Professional Services","0.4970241519104118","35.38769386213297","-120.40591003420344","2025-02-13"
"USA.5.27_1","Monterey","GADM2","3.6","US","Local Events","0.31523838140276944","36.21747682090295","-121.23962348153657","2025-02-13"
"USA.5.27_1","Monterey","GADM2","3.6","US","Restaurants","0.5382339693907888","36.21747682090295","-121.23962348153657","2025-02-13"
"USA.5.27_1","Monterey","GADM2","3.6","US","Professional Services","0.4411411900461556","36.21747682090295","-121.23962348153657","2025-02-13"
"USA.5.19_1","Los Angeles","GADM2","3.6","US","All","0.4623083550605661","34.321822973296776","-118.22668057620999","2025-02-13"
"USA.5.19_1","Los Angeles","GADM2","3.6","US","Grocery & Convenience Stores","0.4563846123938803","34.321822973296776","-118.22668057620999","2025-02-13"
"USA.5.19_1","Los Angeles","GADM2","3.6","US","Manufacturing","0.40199381548069263","34.321822973296776","-118.22668057620999","2025-02-13"
"USA.5.19_1","Los Angeles","GADM2","3.6","US","Lifestyle Services","0.43082915830805","34.321822973296776","-118.22668057620999","2025-02-13"
"USA.5.19_1","Los Angeles","GADM2","3.6","US","Professional Services","0.5089460556903161","34.321822973296776","-118.22668057620999","2025-02-13"
"USA.5.40_1","San Luis Obispo","GADM2","3.6","US","Travel","0.4126049968510643","35.38769386213297","-120.40591003420344","2025-02-13"
"USA.5.56_1","Ventura","GADM2","3.6","US","Grocery & Convenience Stores","0.4221670376164802","34.45691532289751","-119.08528774659119","2025-02-13"
"USA.5.56_1","Ventura","GADM2","3.6","US","Business & Utility Services","0.43262714132251406","34.45691532289751","-119.08528774659119","2025-02-13"
"USA.5.56_1","Ventura","GADM2","3.6","US","Professional Services","0.5427549624424354","34.45691532289751","-119.08528774659119","2025-02-13"
"USA.5.56_1","Ventura","GADM2","3.6","US","Local Events","0.4081234472770478","34.45691532289751","-119.08528774659119","2025-02-13"
"USA.5.56_1","Ventura","GADM2","3.6","US","Public Good","0.5153721105369208","34.45691532289751","-119.08528774659119","2025-02-13"
"USA.5.56_1","Ventura","GADM2","3.6","US","All","0.49040118625790885","34.45691532289751","-119.08528774659119","2025-02-13"
"USA.5.19_1","Los Angeles","GADM2","3.6","US","Local Events","0.4412574138192184","34.321822973296776","-118.22668057620999","2025-02-13"
"USA.5.40_1","San Luis Obispo","GADM2","3.6","US","Business & Utility Services","0.43721665343713056","35.38769386213297","-120.40591003420344","2025-02-13"
"USA.5.40_1","San Luis Obispo","GADM2","3.6","US","Lifestyle Services","0.49274823395515444","35.38769386213297","-120.40591003420344","2025-02-13"
"USA.5.40_1","San Luis Obispo","GADM2","3.6","US","Grocery & Convenience Stores","0.62335584540745","35.38769386213297","-120.40591003420344","2025-02-13"
"USA.5.40_1","San Luis Obispo","GADM2","3.6","US","All","0.469100409186132","35.38769386213297","-120.40591003420344","2025-02-13"
"USA.5.33_1","Riverside","GADM2","3.6","US","Restaurants","0.6630938166287919","33.74552491912014","-115.99278155619636","2025-02-13"
"USA.5.33_1","Riverside","GADM2","3.6","US","Travel","0.5512023168110157","33.74552491912014","-115.99278155619636","2025-02-13"
"USA.5.33_1","Riverside","GADM2","3.6","US","","0.3526833575499679","33.74552491912014","-115.99278155619636","2025-02-13"
"USA.5.33_1","Riverside","GADM2","3.6","US","Retail","0.4636427745349773","33.74552491912014","-115.99278155619636","2025-02-13"
"USA.5.33_1","Riverside","GADM2","3.6","US","Local Events","0.5109792975711396","33.74552491912014","-115.99278155619636","2025-02-13"
"USA.5.33_1","Riverside","GADM2","3.6","US","Home Services","0.5282885391372022","33.74552491912014","-115.99278155619636","2025-02-13"
"USA.5.33_1","Riverside","GADM2","3.6","US","Public Good","0.48866757594304155","33.74552491912014","-115.99278155619636","2025-02-13"
"USA.5.33_1","Riverside","GADM2","3.6","US","Professional Services","0.5580724717836677","33.74552491912014","-115.99278155619636","2025-02-13"
"USA.5.33_1","Riverside","GADM2","3.6","US","All","0.5402650511209229","33.74552491912014","-115.99278155619636","2025-02-13"
"USA.5.33_1","Riverside","GADM2","3.6","US","Manufacturing","0.5927167994998382","33.74552491912014","-115.99278155619636","2025-02-13"
"USA.5.33_1","Riverside","GADM2","3.6","US","Grocery & Convenience Stores","0.44622276342209133","33.74552491912014","-115.99278155619636","2025-02-13"
"USA.5.33_1","Riverside","GADM2","3.6","US","Business & Utility Services","0.48317178440857095","33.74552491912014","-115.99278155619636","2025-02-13"
"USA.5.33_1","Riverside","GADM2","3.6","US","Lifestyle Services","0.5537011775210052","33.74552491912014","-115.99278155619636","2025-02-13"
"USA.5.37_1","San Diego","GADM2","3.6","US","Restaurants","0.5314167664602295","33.03467961448801","-116.73219428917275","2025-02-13"
"USA.5.37_1","San Diego","GADM2","3.6","US","Home Services","0.4708873753501148","33.03467961448801","-116.73219428917275","2025-02-13"
"USA.5.37_1","San Diego","GADM2","3.6","US","All","0.5109913307454815","33.03467961448801","-116.73219428917275","2025-02-13"
"USA.5.19_1","Los Angeles","GADM2","3.6","US","Retail","0.3883377905147067","34.321822973296776","-118.22668057620999","2025-02-13"
"USA.5.19_1","Los Angeles","GADM2","3.6","US","","0.2983250372276274","34.321822973296776","-118.22668057620999","2025-02-13"
"USA.5.19_1","Los Angeles","GADM2","3.6","US","Home Services","0.477686546409351","34.321822973296776","-118.22668057620999","2025-02-13"
"USA.5.19_1","Los Angeles","GADM2","3.6","US","Travel","0.4065314947583928","34.321822973296776","-118.22668057620999","2025-02-13"
"USA.5.19_1","Los Angeles","GADM2","3.6","US","Restaurants","0.47358851175002703","34.321822973296776","-118.22668057620999","2025-02-13"
"USA.5.36_1","San Bernardino","GADM2","3.6","US","Grocery & Convenience Stores","0.412502534865038","34.84273278914933","-116.17966371089373","2025-02-13"
"USA.5.36_1","San Bernardino","GADM2","3.6","US","Business & Utility Services","0.48204899851457134","34.84273278914933","-116.17966371089373","2025-02-13"
"USA.5.36_1","San Bernardino","GADM2","3.6","US","Restaurants","0.642580189892323","34.84273278914933","-116.17966371089373","2025-02-13"
"USA.5.36_1","San Bernardino","GADM2","3.6","US","All","0.49475397256122733","34.84273278914933","-116.17966371089373","2025-02-13"
"USA.5.36_1","San Bernardino","GADM2","3.6","US","Lifestyle Services","0.520943947551755","34.84273278914933","-116.17966371089373","2025-02-13"
"USA.5.36_1","San Bernardino","GADM2","3.6","US","Travel","0.37232832010266514","34.84273278914933","-116.17966371089373","2025-02-13"
"USA.5.36_1","San Bernardino","GADM2","3.6","US","Professional Services","0.5189700879078253","34.84273278914933","-116.17966371089373","2025-02-13"
"USA.5.36_1","San Bernardino","GADM2","3.6","US","Retail","0.45371714560754356","34.84273278914933","-116.17966371089373","2025-02-13"
"USA.5.36_1","San Bernardino","GADM2","3.6","US","Home Services","0.45026411886338796","34.84273278914933","-116.17966371089373","2025-02-13"
"USA.5.36_1","San Bernardino","GADM2","3.6","US","","0.41690908194188203","34.84273278914933","-116.17966371089373","2025-02-13"
"USA.5.36_1","San Bernardino","GADM2","3.6","US","Public Good","0.479318429436515","34.84273278914933","-116.17966371089373","2025-02-13"
"USA.5.36_1","San Bernardino","GADM2","3.6","US","Local Events","0.4316569317625613","34.84273278914933","-116.17966371089373","2025-02-13"
"USA.5.36_1","San Bernardino","GADM2","3.6","US","Manufacturing","0.3956477869879181","34.84273278914933","-116.17966371089373","2025-02-13"
"USA.5.15_1","Kern","GADM2","3.6","US","Professional Services","0.5368192878394498","35.34244322872474","-118.73226467260795","2025-02-13"
"USA.5.15_1","Kern","GADM2","3.6","US","Grocery & Convenience Stores","0.6236992424870051","35.34244322872474","-118.73226467260795","2025-02-13"
"USA.5.15_1","Kern","GADM2","3.6","US","","0.7813370358094561","35.34244322872474","-118.73226467260795","2025-02-13"
"USA.5.15_1","Kern","GADM2","3.6","US","Business & Utility Services","0.5383750148357018","35.34244322872474","-118.73226467260795","2025-02-13"
"USA.5.15_1","Kern","GADM2","3.6","US","Retail","0.3931686208987733","35.34244322872474","-118.73226467260795","2025-02-13"
"USA.5.15_1","Kern","GADM2","3.6","US","Manufacturing","0.5826501057953644","35.34244322872474","-118.73226467260795","2025-02-13"
"USA.5.13_1","Imperial","GADM2","3.6","US","","0.5416062423137815","33.04031085182373","-115.36367513698546","2025-02-13"
"USA.5.13_1","Imperial","GADM2","3.6","US","Local Events","0.8069464493071233","33.04031085182373","-115.36367513698546","2025-02-13"
"USA.5.13_1","Imperial","GADM2","3.6","US","Grocery & Convenience Stores","0.647709123904085","33.04031085182373","-115.36367513698546","2025-02-13"
"USA.5.13_1","Imperial","GADM2","3.6","US","All","0.6025853702947997","33.04031085182373","-115.36367513698546","2025-02-13"
"USA.5.13_1","Imperial","GADM2","3.6","US","Public Good","0.4674678065051559","33.04031085182373","-115.36367513698546","2025-02-13"
"USA.5.13_1","Imperial","GADM2","3.6","US","Manufacturing","0.28073059965219793","33.04031085182373","-115.36367513698546","2025-02-13"
"USA.5.13_1","Imperial","GADM2","3.6","US","Travel","0.5609923424218143","33.04031085182373","-115.36367513698546","2025-02-13"
"USA.5.13_1","Imperial","GADM2","3.6","US","Home Services","0.5790630215359849","33.04031085182373","-115.36367513698546","2025-02-13"
"USA.5.13_1","Imperial","GADM2","3.6","US","Professional Services","0.5975921441816092","33.04031085182373","-115.36367513698546","2025-02-13"
"USA.5.13_1","Imperial","GADM2","3.6","US","Lifestyle Services","0.5637068831083394","33.04031085182373","-115.36367513698546","2025-02-13"
"USA.5.13_1","Imperial","GADM2","3.6","US","Restaurants","0.6451517819114825","33.04031085182373","-115.36367513698546","2025-02-13"
"USA.5.13_1","Imperial","GADM2","3.6","US","Business & Utility Services","0.45934680469280054","33.04031085182373","-115.36367513698546","2025-02-13"
"USA.5.13_1","Imperial","GADM2","3.6","US","Retail","0.5403430630562919","33.04031085182373","-115.36367513698546","2025-02-13"
"USA.5.16_1","Kings","GADM2","3.6","US","Grocery & Convenience Stores","0.6181498763906143","36.07467093999243","-119.81623818576698","2025-02-13"
"USA.5.16_1","Kings","GADM2","3.6","US","Home Services","0.5872491482466076","36.07467093999243","-119.81623818576698","2025-02-13"
"USA.5.16_1","Kings","GADM2","3.6","US","Local Events","0.352356286614691","36.07467093999243","-119.81623818576698","2025-02-13"
"USA.5.16_1","Kings","GADM2","3.6","US","Public Good","0.4381036432800934","36.07467093999243","-119.81623818576698","2025-02-13"
"USA.5.16_1","Kings","GADM2","3.6","US","Manufacturing","0.4196871052942007","36.07467093999243","-119.81623818576698","2025-02-13"
"USA.5.16_1","Kings","GADM2","3.6","US","All","0.5644929003528107","36.07467093999243","-119.81623818576698","2025-02-13"
"USA.5.16_1","Kings","GADM2","3.6","US","Restaurants","0.6835370295306645","36.07467093999243","-119.81623818576698","2025-02-13"
"USA.5.16_1","Kings","GADM2","3.6","US","Lifestyle Services","0.4703113435704175","36.07467093999243","-119.81623818576698","2025-02-13"
"USA.5.16_1","Kings","GADM2","3.6","US","Professional Services","0.4821706834486608","36.07467093999243","-119.81623818576698","2025-02-13"
