"polygon_id","polygon_name","polygon_level","polygon_version","country","business_vertical","activity_quantile","latitude","longitude","ds"
"USA.5.33_1","Riverside","GADM2","3.6","US","Business & Utility Services","0.4925205700465103","33.74552491912014","-115.99278155619636","2025-01-23"
"USA.5.33_1","Riverside","GADM2","3.6","US","Public Good","0.4157262967529026","33.74552491912014","-115.99278155619636","2025-01-23"
"USA.5.33_1","Riverside","GADM2","3.6","US","","0.25980513432015634","33.74552491912014","-115.99278155619636","2025-01-23"
"USA.5.33_1","Riverside","GADM2","3.6","US","Local Events","0.3567110658096667","33.74552491912014","-115.99278155619636","2025-01-23"
"USA.5.33_1","Riverside","GADM2","3.6","US","Restaurants","0.2811431221053966","33.74552491912014","-115.99278155619636","2025-01-23"
"USA.5.33_1","Riverside","GADM2","3.6","US","Travel","0.4424951268654257","33.74552491912014","-115.99278155619636","2025-01-23"
"USA.5.33_1","Riverside","GADM2","3.6","US","Lifestyle Services","0.33354429649109807","33.74552491912014","-115.99278155619636","2025-01-23"
"USA.5.33_1","Riverside","GADM2","3.6","US","Manufacturing","0.38916022539291173","33.74552491912014","-115.99278155619636","2025-01-23"
"USA.5.33_1","Riverside","GADM2","3.6","US","Home Services","0.48708307104618587","33.74552491912014","-115.99278155619636","2025-01-23"
"USA.5.33_1","Riverside","GADM2","3.6","US","Grocery & Convenience Stores","0.3600209056135911","33.74552491912014","-115.99278155619636","2025-01-23"
"USA.5.33_1","Riverside","GADM2","3.6","US","All","0.437640880017379","33.74552491912014","-115.99278155619636","2025-01-23"
"USA.5.33_1","Riverside","GADM2","3.6","US","Retail","0.3353691719862689","33.74552491912014","-115.99278155619636","2025-01-23"
"USA.5.33_1","Riverside","GADM2","3.6","US","Professional Services","0.5083943668764169","33.74552491912014","-115.99278155619636","2025-01-23"
"USA.5.16_1","Kings","GADM2","3.6","US","Retail","0.6057166948024841","36.07467093999243","-119.81623818576698","2025-01-23"
"USA.5.16_1","Kings","GADM2","3.6","US","Lifestyle Services","0.5093552448082704","36.07467093999243","-119.81623818576698","2025-01-23"
"USA.5.16_1","Kings","GADM2","3.6","US","Grocery & Convenience Stores","0.29266426531986106","36.07467093999243","-119.81623818576698","2025-01-23"
"USA.5.16_1","Kings","GADM2","3.6","US","Manufacturing","0.5618498708956162","36.07467093999243","-119.81623818576698","2025-01-23"
"USA.5.16_1","Kings","GADM2","3.6","US","All","0.46701113434049885","36.07467093999243","-119.81623818576698","2025-01-23"
"USA.5.16_1","Kings","GADM2","3.6","US","Local Events","0.4880479469488997","36.07467093999243","-119.81623818576698","2025-01-23"
"USA.5.16_1","Kings","GADM2","3.6","US","Professional Services","0.3520795166186837","36.07467093999243","-119.81623818576698","2025-01-23"
"USA.5.16_1","Kings","GADM2","3.6","US","Business & Utility Services","0.4381565380381958","36.07467093999243","-119.81623818576698","2025-01-23"
"USA.5.16_1","Kings","GADM2","3.6","US","Restaurants","0.3762241498439975","36.07467093999243","-119.81623818576698","2025-01-23"
"USA.5.16_1","Kings","GADM2","3.6","US","Public Good","0.3372726626062245","36.07467093999243","-119.81623818576698","2025-01-23"
"USA.5.16_1","Kings","GADM2","3.6","US","Home Services","0.633716862821893","36.07467093999243","-119.81623818576698","2025-01-23"
"USA.5.37_1","San Diego","GADM2","3.6","US","All","0.4175401390238816","33.03467961448801","-116.73219428917275","2025-01-23"
"USA.5.37_1","San Diego","GADM2","3.6","US","Professional Services","0.49803625104178995","33.03467961448801","-116.73219428917275","2025-01-23"
"USA.5.37_1","San Diego","GADM2","3.6","US","Retail","0.31297723491026125","33.03467961448801","-116.73219428917275","2025-01-23"
"USA.5.56_1","Ventura","GADM2","3.6","US","Lifestyle Services","0.2689500141382881","34.45691532289751","-119.08528774659119","2025-01-23"
"USA.5.56_1","Ventura","GADM2","3.6","US","Retail","0.3184633960070485","34.45691532289751","-119.08528774659119","2025-01-23"
"USA.5.56_1","Ventura","GADM2","3.6","US","Professional Services","0.5004791576736519","34.45691532289751","-119.08528774659119","2025-01-23"
"USA.5.56_1","Ventura","GADM2","3.6","US","Manufacturing","0.5994380199374744","34.45691532289751","-119.08528774659119","2025-01-23"
"USA.5.56_1","Ventura","GADM2","3.6","US","Travel","0.3313232535381244","34.45691532289751","-119.08528774659119","2025-01-23"
"USA.5.56_1","Ventura","GADM2","3.6","US","All","0.3931470876255721","34.45691532289751","-119.08528774659119","2025-01-23"
"USA.5.56_1","Ventura","GADM2","3.6","US","Restaurants","0.1306466069285163","34.45691532289751","-119.08528774659119","2025-01-23"
"USA.5.56_1","Ventura","GADM2","3.6","US","","0.240845514194699","34.45691532289751","-119.08528774659119","2025-01-23"
"USA.5.54_1","Tulare","GADM2","3.6","US","Manufacturing","0.631685163208428","36.220211537773395","-118.80144209701061","2025-01-23"
"USA.5.54_1","Tulare","GADM2","3.6","US","Retail","0.41588091266342914","36.220211537773395","-118.80144209701061","2025-01-23"
"USA.5.54_1","Tulare","GADM2","3.6","US","Public Good","0.3404979152394634","36.220211537773395","-118.80144209701061","2025-01-23"
"USA.5.54_1","Tulare","GADM2","3.6","US","Local Events","0.30422472175730164","36.220211537773395","-118.80144209701061","2025-01-23"
"USA.5.54_1","Tulare","GADM2","3.6","US","Lifestyle Services","0.39857921651434836","36.220211537773395","-118.80144209701061","2025-01-23"
"USA.5.54_1","Tulare","GADM2","3.6","US","","0.2713878149694676","36.220211537773395","-118.80144209701061","2025-01-23"
"USA.5.54_1","Tulare","GADM2","3.6","US","Restaurants","0.34914714974916067","36.220211537773395","-118.80144209701061","2025-01-23"
"USA.5.15_1","Kern","GADM2","3.6","US","Business & Utility Services","0.44745223511780097","35.34244322872474","-118.73226467260795","2025-01-23"
"USA.5.15_1","Kern","GADM2","3.6","US","Home Services","0.5552889902524754","35.34244322872474","-118.73226467260795","2025-01-23"
"USA.5.15_1","Kern","GADM2","3.6","US","Public Good","0.4115729344503079","35.34244322872474","-118.73226467260795","2025-01-23"
"USA.5.15_1","Kern","GADM2","3.6","US","Lifestyle Services","0.3528613963623613","35.34244322872474","-118.73226467260795","2025-01-23"
"USA.5.15_1","Kern","GADM2","3.6","US","Retail","0.30362986671325054","35.34244322872474","-118.73226467260795","2025-01-23"
