"latitude","longitude","quadkey","country","date_time","n_baseline","n_crisis","n_difference","density_baseline","density_crisis","percent_change","z_score","ds"
"33.69692220677028","-116.927490234375","02301320310112","US","2025-01-24 08:00","65.16432501161377","66.38934315565997","1.225018144046203","1.8082100703847212e-05","1.8103912969871072e-05","1.8514783364466825","0.20933655675153726","2025-01-24"
"34.1709078740556","-119.16870117187499","02301231010222","US","2025-01-24 08:00","2025.0652754103864","2040.9931168767582","15.927841466371774","0.0005619245535852422","0.0005565646533572095","0.78614651066193","0.16642002034230086","2025-01-24"
"33.82479313117874","-117.762451171875","02301320032020","US","2025-01-24 08:00","335.3815780389335","332.9182850255689","-2.4632930133646482","9.306324384138674e-05","9.078450503795642e-05","-0.7322912948221978","-0.1629348227822373","2025-01-24"
"34.37064443397318","-117.235107421875","02301302323200","US","2025-01-24 08:00","41.65920842215846","42.11886432174936","0.45965589959090636","1.1559791370474204e-05","1.1485521889905164e-05","1.0775068656739244","0.12287587624248587","2025-01-24"
"34.56990588872666","-117.82836914062499","02301302221103","US","2025-01-24 08:00","28.46769698600792","27.959595636305533","-0.5081013497023861","7.899349277627932e-06","7.624387620248785e-06","-1.7242655574463341","-0.16833288241066346","2025-01-24"
"34.07996181980812","-117.14721679687497","02301320103300","US","2025-01-24 08:00","448.88433174325877","446.9820197149935","-1.9023120282652712","0.0001245585170952691","0.00012188889359914612","-0.4228446945226996","-0.05763981441671963","2025-01-24"
"33.642062018954874","-117.23510742187499","02301320301200","US","2025-01-24 08:00","320.7267029135745","313.6963408828211","-7.030362030753395","8.899674076977785e-05","8.554281431876815e-05","-2.185196928662139","-0.30983777870904045","2025-01-24"
"34.07996181980812","-118.004150390625","02301320002301","US","2025-01-24 08:00","1678.2441766500351","1694.525676354766","16.281499704730777","0.00046568701820240915","0.00046208538768052575","0.9695730931287869","0.2827172855984369","2025-01-24"
"33.477271703139415","-116.77368164062499","02301320313303","US","2025-01-24 08:00","","11.565716726537945","","","","","","2025-01-24"
"33.03629769746936","-117.05932617187501","02301322110202","US","2025-01-24 08:00","573.9107051275437","591.5680812078505","17.65737608030679","0.00015925141806168787","0.00016131650877807338","3.071324976700427","1.0934471952756557","2025-01-24"
"34.894941953171596","-116.72973632812501","02301302133333","US","2025-01-24 08:00","11.159207387418709","12.135484985566542","0.9762775981478331","3.0965088906922417e-06","3.309262504838375e-06","8.02912202285488","0.5330867181015294","2025-01-24"
"34.043556015526214","-117.82836914062499","02301320003321","US","2025-01-24 08:00","513.7438414876119","516.1051447786831","2.361303291071181","0.00014255603623769149","0.0001407382899160287","0.4587336653211827","0.04329549017929441","2025-01-24"
"33.477271703139415","-117.147216796875","02301320303302","US","2025-01-24 08:00","464.75907869227274","455.9038305874799","-8.85524810479285","0.0001289635158876145","0.00012432180948431215","-1.901250777474059","-0.9106289454824178","2025-01-24"
"34.60608409980317","-118.09204101562501","02301302202223","US","2025-01-24 08:00","251.7941353328176","262.093175869996","10.2990405371784","6.986901055009315e-05","7.147098947525883e-05","4.074082068248591","1.2861242412366962","2025-01-24"
"34.46127679702201","-117.147216796875","02301302321322","US","2025-01-24 08:00","74.13453270178347","74.92772655567255","0.793193853889079","2.057119575331125e-05","2.0432270845242535e-05","1.0556981262362346","0.1601834652778597","2025-01-24"
"34.38877876345602","-117.41088867187501","02301302322022","US","2025-01-24 08:00","117.03570461608075","117.75047935860503","0.7147747425242841","3.247561294368543e-05","3.2109738237213534e-05","0.6055580765575451","0.12197791414909591","2025-01-24"
"33.80653753813763","-116.92749023437501","02301320132132","US","2025-01-24 08:00","183.6445954427704","181.92528182160197","-1.7193136211684248","5.095855850454423e-05","4.9609761334666255e-05","-0.9311475470189523","-0.14511849426247","2025-01-24"
"34.1709078740556","-118.15795898437499","02301231111332","US","2025-01-24 08:00","1403.034920730571","1434.5278278429691","31.492907112398143","0.00038932067082936864","0.0003911857794290167","2.2430287628466696","1.1261241075259905","2025-01-24"
"34.316217890357684","-119.366455078125","02301213222333","US","2025-01-24 08:00","26.540779415906847","16.986414282125835","-9.554365133781012","7.364659206881854e-06","4.6320772463850425e-06","-34.691702037534405","-1.6013434763043732","2025-01-24"
"34.62416729742088","-117.63061523437499","02301302212330","US","2025-01-24 08:00","","12.562899354399823","","","","","","2025-01-24"
"35.146862410949815","-118.44360351562501","02301213130003","US","2025-01-24 08:00","183.64260894307165","176.1666549664248","-7.475953976646849","5.095800728134666e-05","4.803942377058385e-05","-4.048878002450566","-1.0904749740867088","2025-01-24"
"32.98101966800432","-117.169189453125","02301322103011","US","2025-01-24 08:00","312.5238728556075","315.8872748560008","3.3634020003932505","8.672058124325365e-05","8.614026680267327e-05","1.0727738113716958","0.4247817272609695","2025-01-24"
"33.71520115842439","-117.344970703125","02301320300011","US","2025-01-24 08:00","211.72310430462042","218.156539919226","6.433435614605571","5.8749914047064643e-05","5.94897738820174e-05","3.024323867233934","0.5002824151990015","2025-01-24"
"34.67839324728014","-118.179931640625","02301213313123","US","2025-01-24 08:00","1111.141641316456","1109.8766759249427","-1.2649653915132149","0.0003083247628352081","0.000302655664194833","-0.11374139268950127","-0.0574522270445343","2025-01-24"
"34.26175603437575","-118.443603515625","02301231110021","US","2025-01-24 08:00","1988.6306564189586","1986.6227403776434","-2.007916041315184","0.0005518145056473269","0.0005417382291527824","-0.1009190341351664","-0.021939417509682903","2025-01-24"
